species,parameter, value, description, unit
all,a,50,rate of leaf photosynthesis,gC/year
all,r,5,rate of leaf respiration,gC/year
all,b,0.6,biomass density,gC/cm3
all,k,0.75,light decay coefficient,
all,beta,1.5,height to mass power,
all,m,0.1,ramet mortality,ramets/year
env,L_above,1,light available above,Total PAR
all,c,100,crown area,cm2
